route,canonical_route,alias_group_size,route_type,source_file,line,block_start_line,aliases
(http|https)://*,(http|https)://*,5,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/bo.smali,178,174,"[""(http|https)://*"", ""(http|https)://*/**"", ""bilibili://live/biz/browser"", ""(http|https)://live.bilibili.com"", ""(http|https)://live.bilibili.com/**""]"
(http|https)://*,activity://main/web,4,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,2764,2752,"[""activity://main/web"", ""bilibili://browser"", ""(http|https)://*"", ""(http|https)://*/**""]"
(http|https)://*,(http|https)://*/**,3,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/pn.smali,186,174,"[""(http|https)://*/**"", ""(http|https)://m.bilibili.com/channel/{tid}.html"", ""(http|https)://*""]"
(http|https)://*.biligame.com,(http|https)://bilibiligame.aihelpcn.net,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5196,5160,"[""(http|https)://bilibiligame.aihelpcn.net"", ""(http|https)://bilibiligame.aihelpcn.net/**"", ""(http|https)://game.bilibili.com"", ""(http|https)://game.bilibili.com/**"", ""(http|https)://uat-game.bilibili.com"", ""(http|https)://uat-game.bilibili.com/**"", ""(http|https)://pre-game.bilibili.com"", ""(http|https)://pre-game.bilibili.com/**"", ""(http|https)://*.biligame.com"", ""(http|https)://*.biligame.com/**"", ""(http|https)://app.biligame.com/page/paymentv2.html""]"
(http|https)://*.biligame.com/**,(http|https)://bilibiligame.aihelpcn.net,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5200,5160,"[""(http|https)://bilibiligame.aihelpcn.net"", ""(http|https)://bilibiligame.aihelpcn.net/**"", ""(http|https)://game.bilibili.com"", ""(http|https)://game.bilibili.com/**"", ""(http|https)://uat-game.bilibili.com"", ""(http|https)://uat-game.bilibili.com/**"", ""(http|https)://pre-game.bilibili.com"", ""(http|https)://pre-game.bilibili.com/**"", ""(http|https)://*.biligame.com"", ""(http|https)://*.biligame.com/**"", ""(http|https)://app.biligame.com/page/paymentv2.html""]"
(http|https)://*/**,(http|https)://*,5,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/bo.smali,182,174,"[""(http|https)://*"", ""(http|https)://*/**"", ""bilibili://live/biz/browser"", ""(http|https)://live.bilibili.com"", ""(http|https)://live.bilibili.com/**""]"
(http|https)://*/**,activity://main/web,4,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/ln.smali,2768,2752,"[""activity://main/web"", ""bilibili://browser"", ""(http|https)://*"", ""(http|https)://*/**""]"
(http|https)://*/**,(http|https)://*/**,3,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/pn.smali,178,174,"[""(http|https)://*/**"", ""(http|https)://m.bilibili.com/channel/{tid}.html"", ""(http|https)://*""]"
(http|https)://account.bilibili.com/h5/account-h5/middle-redirect,(http|https)://uat-account.bilibili.com/h5/account-h5/middle-redirect,5,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/wc.smali,1075,1055,"[""(http|https)://uat-account.bilibili.com/h5/account-h5/middle-redirect"", ""(http|https)://pre-account.bilibili.com/h5/account-h5/middle-redirect"", ""bilibili://user_center/auth/realname_v2"", ""(http|https)://www.bilibili.com/blackboard/live/auth-middle.html"", ""(http|https)://account.bilibili.com/h5/account-h5/middle-redirect""]"
(http|https)://app.biligame.com,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5295,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/**,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5299,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/mini-games/home/index.html,(http|https)://app.biligame.com/mini-games/home/index.html,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/kk0.smali,1139,1135,"[""(http|https)://app.biligame.com/mini-games/home/index.html""]"
(http|https)://app.biligame.com/mini-games/recently-used-apps/index.html,(http|https)://app.biligame.com/mini-games/recently-used-apps/index.html,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/kk0.smali,1205,1201,"[""(http|https)://app.biligame.com/mini-games/recently-used-apps/index.html""]"
(http|https)://app.biligame.com/page/detail_share.html,(http|https)://app.biligame.com/page/detail_share.html,4,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,3112,3108,"[""(http|https)://app.biligame.com/page/detail_share.html"", ""(http|https)://app.biligame.com/share/detail"", ""bilibili://game_center/detail"", ""bilibili://game_center/private_recruit_detail""]"
(http|https)://app.biligame.com/page/gift_detail_share.html,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5311,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/page/paymentv2.html,(http|https)://bilibiligame.aihelpcn.net,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5204,5160,"[""(http|https)://bilibiligame.aihelpcn.net"", ""(http|https)://bilibiligame.aihelpcn.net/**"", ""(http|https)://game.bilibili.com"", ""(http|https)://game.bilibili.com/**"", ""(http|https)://uat-game.bilibili.com"", ""(http|https)://uat-game.bilibili.com/**"", ""(http|https)://pre-game.bilibili.com"", ""(http|https)://pre-game.bilibili.com/**"", ""(http|https)://*.biligame.com"", ""(http|https)://*.biligame.com/**"", ""(http|https)://app.biligame.com/page/paymentv2.html""]"
(http|https)://app.biligame.com/page/topic.html,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5271,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/page/transfer_share.html,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5275,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/share/detail,(http|https)://app.biligame.com/page/detail_share.html,4,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,3116,3108,"[""(http|https)://app.biligame.com/page/detail_share.html"", ""(http|https)://app.biligame.com/share/detail"", ""bilibili://game_center/detail"", ""bilibili://game_center/private_recruit_detail""]"
(http|https)://app.biligame.com/strategy_detail,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5303,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://app.biligame.com/strategy_detail_share,(http|https)://app.biligame.com/page/topic.html,11,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/l40.smali,5307,5267,"[""(http|https)://app.biligame.com/page/topic.html"", ""(http|https)://app.biligame.com/page/transfer_share.html"", ""(http|https)://jiazhang.biligame.com/h5/guardian"", ""(http|https)://jiazhang.biligame.com/h5/guardian/**"", ""bilibili://game_center"", ""bilibili://game_center/**"", ""(http|https)://app.biligame.com"", ""(http|https)://app.biligame.com/**"", ""(http|https)://app.biligame.com/strategy_detail"", ""(http|https)://app.biligame.com/strategy_detail_share"", ""(http|https)://app.biligame.com/page/gift_detail_share.html""]"
(http|https)://b23.tv/ep{epid},(http|https)://bili22.cn/ss{season_id},23,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/io.smali,310,242,"[""(http|https)://bili22.cn/ss{season_id}"", ""(http|https)://bili22.cn/ep{epid}"", ""bilibili://pgc/season"", ""bilibili://pgc/season/ep/{epid}"", ""bilibili://bangumi/season/{season_id}"", ""bilibili://bangumi"", ""bilibili://pgc/season/{season_id}"", ""(http|https)://www.bilibili.com/bangumi/play/ss{season_id}"", ""(http|https)://www.bilibili.com/bangumi/play/ep{epid}"", ""(http|https)://www.bilibili.com/bangumi/i/{season_id}"", ""(http|https)://www.bilibili.com/mobile/bangumi/i/{season_id}"", ""(http|https)://m.bilibili.com/bangumi/play/ss{season_id}"", ""(http|https)://m.bilibili.com/bangumi/play/ep{epid}"", ""(http|https)://bangumi.bilibili.com/anime/{season_id}/play"", ""(http|https)://bangumi.bilibili.com/anime/{season_id}"", ""(http|https)://b23.tv/ss{season_id}"", ""(http|https)://b23.tv/ep{epid}"", ""(http|https)://bili2233.cn/ss{season_id}"", ""(http|https)://bili2233.cn/ep{epid}"", ""(http|https)://bili23.cn/ss{season_id}"", ""(http|https)://bili23.cn/ep{epid}"", ""(http|https)://bili33.cn/ss{season_id}"", ""(http|https)://bili33.cn/ep{epid}""]"
